V1 V2 V3 V4 V5 V6 V7 V8 V9 V10 V11
0 0 1 0.25 0.185 0.065 0.0685 0.0295 0.014 0.0225 2
1 0 0 0.46 0.35 0.125 0.5165 0.1885 0.1145 0.185 3
0 0 1 0.525 0.405 0.145 0.6965 0.3045 0.1535 0.21 3
0 1 0 0.59 0.465 0.15 1.151 0.613 0.239 0.2515 3
1 0 0 0.525 0.405 0.135 0.7575 0.3305 0.216 0.195 4
0 1 0 0.49 0.4 0.115 0.569 0.256 0.1325 0.145 3
1 0 0 0.445 0.34 0.12 0.4475 0.193 0.1035 0.13 3
1 0 0 0.725 0.57 0.19 2.3305 1.253 0.541 0.52 3
0 1 0 0.64 0.505 0.19 1.2355 0.4435 0.3105 0.365 5
1 0 0 0.46 0.345 0.11 0.4595 0.235 0.0885 0.116 3
0 1 0 0.51 0.4 0.12 0.7005 0.347 0.1105 0.195 4
0 1 0 0.57 0.465 0.155 0.9685 0.446 0.261 0.255 3
1 0 0 0.665 0.52 0.175 1.3725 0.606 0.32 0.395 4
1 0 0 0.465 0.35 0.14 0.5755 0.2015 0.1505 0.19 5
1 0 0 0.465 0.36 0.08 0.488 0.191 0.125 0.155 4
0 0 1 0.36 0.265 0.09 0.2055 0.096 0.037 0.0585 3
0 1 0 0.71 0.56 0.18 1.652 0.735 0.381 0.4525 4
0 0 1 0.33 0.23 0.085 0.1695 0.079 0.026 0.0505 2
0 0 1 0.535 0.4 0.135 0.6025 0.2895 0.121 0.154 3
0 1 0 0.47 0.35 0.145 0.5175 0.187 0.1235 0.18 4
0 0 1 0.32 0.255 0.1 0.1755 0.073 0.0415 0.065 3
1 0 0 0.6 0.485 0.175 1.2675 0.4995 0.2815 0.38 5
1 0 0 0.645 0.5 0.19 1.229 0.524 0.278 0.395 6
0 0 1 0.58 0.445 0.17 1.178 0.3935 0.2165 0.315 7
0 0 1 0.25 0.185 0.065 0.071 0.027 0.0185 0.0225 2
1 0 0 0.54 0.405 0.125 0.891 0.4815 0.1915 0.202 3
0 0 1 0.555 0.46 0.145 0.9005 0.3845 0.158 0.2765 4
1 0 0 0.615 0.495 0.2 1.304 0.5795 0.3115 0.371 5
0 0 1 0.57 0.43 0.145 0.833 0.354 0.144 0.2815 4
0 0 1 0.45 0.34 0.105 0.4385 0.21 0.0925 0.12 3
0 1 0 0.6 0.475 0.17 1.088 0.4905 0.2475 0.31 4
1 0 0 0.6 0.46 0.155 0.6655 0.285 0.149 0.269 4
0 0 1 0.47 0.355 0.115 0.4155 0.167 0.084 0.139 3
1 0 0 0.515 0.4 0.125 0.955 0.341 0.2535 0.26 5
1 0 0 0.675 0.525 0.175 1.402 0.483 0.3205 0.465 6
1 0 0 0.59 0.49 0.135 1.008 0.422 0.2245 0.285 4
0 0 1 0.41 0.335 0.11 0.33 0.157 0.0705 0.17 3
0 1 0 0.66 0.515 0.18 1.523 0.54 0.3365 0.555 6
1 0 0 0.595 0.475 0.16 1.3175 0.408 0.234 0.58 8
0 1 0 0.55 0.38 0.165 1.205 0.543 0.294 0.3345 4
