V1 V2 V3 V4 V5 V6 V7 V8
4 97 88 2130 14.5 70 3 5
4 156 105 2745 16.7 78 1 4
6 168 132 2910 11.4 80 3 7
8 302 140 4638 16 74 1 2
8 260 110 3365 15.5 78 1 3
4 89 60 1968 18.8 80 3 8
6 225 100 3651 17.7 76 1 3
4 135 84 2490 15.7 81 1 5
8 318 150 4077 14 72 1 2
4 97 75 2155 16.4 76 3 6
4 121 112 2868 15.5 73 2 3
8 455 225 3086 10 70 1 2
4 112 88 2640 18.6 82 1 5
4 86 64 1875 16.4 81 1 8
8 454 220 4354 9 70 1 2
6 200 81 3012 17.6 76 1 4
4 151 84 2635 16.4 81 1 5
4 146 67 3250 21.8 80 2 6
4 120 75 2542 17.5 80 3 6
8 383 170 3563 10 70 1 2
4 141 71 3190 24.8 79 2 5
4 90 75 2125 14.5 74 1 6
6 258 120 3410 15.1 78 1 3
4 98 79 2255 17.7 76 1 5
6 200 85 3070 16.7 78 1 4
6 173 115 2700 12.9 79 1 5
6 232 90 3211 17 75 1 3
8 302 139 3205 11.2 78 1 3
4 140 88 2870 18.1 80 1 5
8 400 150 4464 12 73 1 2
4 116 75 2158 15.5 73 2 4
6 250 88 3021 16.5 73 1 3
4 97 75 2265 18.2 77 3 5
8 302 137 4042 14.5 73 1 2
4 76 52 1649 16.5 74 3 6
8 400 175 4385 12 72 1 2
8 318 150 4135 13.5 72 1 2
8 350 180 4380 12.1 76 1 2
4 140 72 2408 19 71 1 4
6 163 125 3140 13.6 78 2 3
8 400 190 4422 12.5 72 1 2
4 112 85 2575 16.2 82 1 6
4 105 74 2190 14.2 81 2 7
8 400 230 4278 9.5 73 1 2
8 455 225 4425 10 70 1 2
4 121 110 2660 14 73 2 4
6 173 115 2595 11.3 79 1 6
4 97 88 2279 19 73 3 3
8 305 130 3840 15.4 79 1 3
8 302 129 3725 13.4 79 1 3
4 105 63 2215 14.9 81 1 7
4 116 75 2246 14 74 2 5
6 250 78 3574 21 76 1 3
4 105 70 2150 14.9 79 1 7
4 151 90 2735 18 82 1 5
6 231 105 3535 19.2 78 1 3
6 231 165 3445 13.4 78 1 3
4 140 72 2401 19.5 73 1 4
6 168 120 3820 16.7 76 2 2
4 97.5 80 2126 17 72 1 5
6 200 85 2965 15.8 78 1 3
4 119 82 2720 19.4 82 1 6
4 121 76 2511 18 72 2 4
4 98 65 2380 20.7 81 1 6
8 307 130 4098 14 72 1 2
4 151 90 2670 16 79 1 6
6 250 100 3329 15.5 71 1 3
4 91 68 1985 16 81 3 7
6 232 90 3265 18.2 79 1 3
4 79 67 1950 19 74 3 6
8 390 190 3850 8.5 70 1 2
8 262 110 3221 13.5 75 1 3
6 225 110 3360 16.6 79 1 4
8 350 165 4274 12 72 1 2
8 360 175 3821 11 73 1 2
4 108 94 2379 16.5 73 3 4
4 141 80 3230 20.4 81 2 6
4 151 90 2950 17.3 82 1 5
8 302 130 4295 14.9 77 1 2
8 351 148 4657 13.5 75 1 2
4 119 97 2300 14.7 78 3 5
6 200 95 3155 18.2 78 1 4
6 225 95 3785 19 75 1 3
4 110 87 2672 17.5 70 2 5
4 85 65 1975 19.4 81 3 8
4 114 91 2582 14 73 2 3
4 97 88 2100 16.5 72 3 5
4 98 68 2045 18.5 77 3 6
4 108 75 2265 15.2 80 3 7
4 108 70 2245 16.9 82 3 7
4 107 72 2290 17 80 3 7
4 111 80 2155 14.8 77 1 6
4 151 90 3003 20.1 80 1 5
4 134 96 2702 13.5 75 3 4
8 305 140 4215 13 76 1 3
4 91 67 1965 15.7 82 3 7
4 91 67 1850 13.8 80 3 10
4 113 95 2228 14 71 3 5
8 400 190 4325 12.2 77 1 2
4 140 90 2408 19.5 72 1 3
4 107 90 2430 14.5 70 2 4
4 156 92 2585 14.5 82 1 5
8 350 160 4456 13.5 72 1 1
6 232 100 2901 16 74 1 3
4 140 92 2572 14.9 76 1 5
8 350 165 4209 12 71 1 2
8 350 145 3988 13 73 1 2
4 98 60 2164 22.1 76 1 5
4 97 60 1834 19 71 2 5
6 250 100 3336 17 74 1 2
4 97 67 1985 16.4 77 3 6
6 198 95 2904 16 73 1 4
4 156 105 2800 14.4 80 1 6
6 231 115 3245 15.4 79 1 4
4 140 92 2865 16.4 82 1 4
4 122 86 2226 16.5 72 1 4
6 231 105 3380 15.8 78 1 4
4 105 63 2125 14.7 82 1 8
