V1 V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13 V14
1.6566 0 19.58 0 0.871 6.122 97.3 1.618 5 403 14.7 372.8 14.1 2
0.19186 0 7.38 0 0.493 6.431 14.7 5.4159 5 287 19.6 393.68 5.08 3
0.10793 0 8.56 0 0.52 6.195 54.4 2.7778 5 384 20.9 393.49 13 2
2.73397 0 19.58 0 0.871 5.597 94.9 1.5257 5 403 14.7 351.85 21.45 2
6.80117 0 18.1 0 0.713 6.081 84.4 2.7175 24 666 20.2 396.9 14.7 2
0.03738 0 5.19 0 0.515 6.31 38.5 6.4584 5 224 20.2 389.4 6.75 2
9.51363 0 18.1 0 0.713 6.728 94.1 2.4961 24 666 20.2 6.68 18.71 2
0.05023 35 6.06 0 0.4379 5.706 28.4 6.6407 1 304 16.9 394.02 12.43 2
0.07244 60 1.69 0 0.411 5.884 18.5 10.7103 4 411 18.3 392.33 7.79 2
0.11329 30 4.93 0 0.428 6.897 54.3 6.3361 6 300 16.6 391.25 11.38 2
0.21409 22 5.86 0 0.431 6.438 8.9 7.3967 7 330 19.1 377.07 3.59 3
1.62864 0 21.89 0 0.624 5.019 100 1.4394 4 437 21.2 396.9 34.41 2
3.47428 0 18.1 1 0.718 8.78 82.9 1.9047 24 666 20.2 354.55 5.29 2
0.2498 0 21.89 0 0.624 5.857 98.2 1.6686 4 437 21.2 392.04 21.32 1
10.6718 0 18.1 0 0.74 6.459 94.8 1.9879 24 666 20.2 43.06 23.98 1
0.05735 0 4.49 0 0.449 6.63 56.1 4.4377 3 247 18.5 392.3 6.53 3
0.11069 0 13.89 1 0.55 5.951 93.8 2.8893 5 276 16.4 396.9 17.92 2
0.06642 0 4.05 0 0.51 6.86 74.4 2.9153 5 296 16.6 391.27 6.92 3
0.1415 0 6.91 0 0.448 6.169 6.6 5.7209 3 233 17.9 383.37 5.81 3
0.11747 12.5 7.87 0 0.524 6.009 82.9 6.2267 5 311 15.2 396.9 13.27 2
0.0351 95 2.68 0 0.4161 7.853 33.2 5.118 4 224 14.7 392.78 3.81 5
0.02875 28 15.04 0 0.464 6.211 28.9 3.6659 4 270 18.2 396.33 6.21 3
25.9406 0 18.1 0 0.679 5.304 89.1 1.6475 24 666 20.2 127.36 26.64 1
9.59571 0 18.1 0 0.693 6.404 100 1.639 24 666 20.2 376.11 20.31 1
7.83932 0 18.1 0 0.655 6.209 65.4 2.9634 24 666 20.2 396.9 13.22 2
0.01951 17.5 1.38 0 0.4161 7.104 59.5 9.2229 3 216 18.6 393.24 8.05 4
6.44405 0 18.1 0 0.584 6.425 74.8 2.2004 24 666 20.2 97.95 12.03 2
0.03113 0 4.39 0 0.442 6.014 48.5 8.0136 3 352 18.8 385.64 10.53 2
0.15445 25 5.13 0 0.453 6.145 29.2 7.8148 8 284 19.7 390.68 6.86 3
8.71675 0 18.1 0 0.693 6.471 98.8 1.7257 24 666 20.2 391.98 17.12 1
6.96215 0 18.1 0 0.7 5.713 97 1.9265 24 666 20.2 394.43 17.11 2
0.26169 0 9.9 0 0.544 6.023 90.4 2.834 4 304 18.4 396.3 11.72 2
0.04011 80 1.52 0 0.404 7.287 34.1 7.309 2 329 12.6 396.9 4.08 4
0.3692 0 9.9 0 0.544 6.567 87.3 3.6023 4 304 18.4 395.69 9.28 3
1.42502 0 19.58 0 0.871 6.51 100 1.7659 5 403 14.7 364.31 7.39 3
2.44668 0 19.58 0 0.871 5.272 94 1.7364 5 403 14.7 88.63 16.14 1
15.0234 0 18.1 0 0.614 5.304 97.3 2.1007 24 666 20.2 349.48 24.91 1
1.25179 0 8.14 0 0.538 5.57 98.1 3.7979 4 307 21 376.57 21.02 1
0.09266 34 6.09 0 0.433 6.495 18.4 5.4917 7 329 16.1 383.61 8.67 3
0.09299 0 25.65 0 0.581 5.961 92.9 2.0869 2 188 19.1 378.09 17.93 2
0.04294 28 15.04 0 0.464 6.249 77.3 3.615 4 270 18.2 396.9 10.59 2
0.04379 80 3.37 0 0.398 5.787 31.1 6.6115 4 337 16.1 396.9 10.24 2
0.03427 0 5.19 0 0.515 5.869 46.3 5.2311 5 224 20.2 396.9 9.8 2
0.07875 45 3.44 0 0.437 6.782 41.1 3.7886 5 398 15.2 393.87 6.68 3
0.0187 85 4.15 0 0.429 6.516 27.7 8.5353 4 351 17.9 392.43 6.36 3
0.2909 0 21.89 0 0.624 6.174 93.6 1.6119 4 437 21.2 388.08 24.16 1
0.0578 0 2.46 0 0.488 6.98 58.4 2.829 3 193 17.8 396.9 5.04 4
11.9511 0 18.1 0 0.659 5.608 100 1.2852 24 666 20.2 332.09 12.13 3
10.0623 0 18.1 0 0.584 6.833 94.3 2.0882 24 666 20.2 81.33 19.69 2
0.10469 40 6.41 1 0.447 7.267 49 4.7872 4 254 17.6 389.25 6.05 4
0.22969 0 10.59 0 0.489 6.326 52.5 4.3549 4 277 18.6 394.87 10.97 3
0.25387 0 6.91 0 0.448 5.399 95.3 5.87 3 233 17.9 396.9 30.81 2
0.15038 0 25.65 0 0.581 5.856 97 1.9444 2 188 19.1 370.31 25.41 2
0.04981 21 5.64 0 0.439 5.998 21.4 6.8147 4 243 16.8 396.9 8.43 3
0.29819 0 6.2 0 0.504 7.686 17 3.3751 8 307 17.4 377.51 3.92 5
3.53501 0 19.58 1 0.871 6.152 82.6 1.7455 5 403 14.7 88.01 15.02 2
7.99248 0 18.1 0 0.7 5.52 100 1.5331 24 666 20.2 396.9 24.56 1
0.04203 28 15.04 0 0.464 6.442 53.6 3.6659 4 270 18.2 395.01 8.16 2
1.19294 0 21.89 0 0.624 6.326 97.7 2.271 4 437 21.2 396.9 12.26 2
0.17899 0 9.69 0 0.585 5.67 28.8 2.7986 6 391 19.2 393.29 17.6 3
0.04417 70 2.24 0 0.4 6.871 47.4 7.8278 5 358 14.8 390.86 6.07 3
0.19657 22 5.86 0 0.431 6.226 79.2 8.0555 7 330 19.1 376.14 10.15 2
14.0507 0 18.1 0 0.597 6.657 100 1.5275 24 666 20.2 35.05 21.22 2
5.82115 0 18.1 0 0.713 6.513 89.9 2.8016 24 666 20.2 393.82 10.29 2
0.07022 0 4.05 0 0.51 6.02 47.2 3.5549 5 296 16.6 393.23 10.11 3
0.03578 20 3.33 0 0.4429 7.82 64.5 4.6947 5 216 14.9 387.31 3.76 5
9.82349 0 18.1 0 0.671 6.794 98.8 1.358 24 666 20.2 396.9 21.24 1
0.57529 0 6.2 0 0.507 8.337 73.3 3.8384 8 307 17.4 385.91 2.47 5
0.5405 20 3.97 0 0.575 7.47 52.6 2.872 5 264 13 390.3 3.16 5
2.37857 0 18.1 0 0.583 5.871 41.9 3.724 24 666 20.2 370.73 13.34 2
0.04544 0 3.24 0 0.46 6.144 32.2 5.8736 4 430 16.9 368.57 9.09 2
0.12329 0 10.01 0 0.547 5.913 92.9 2.3534 6 432 17.8 394.95 16.21 2
11.8123 0 18.1 0 0.718 6.824 76.5 1.794 24 666 20.2 48.45 22.74 1
0.52058 0 6.2 1 0.507 6.631 76.5 4.148 8 307 17.4 388.45 9.54 3
4.54192 0 18.1 0 0.77 6.398 88 2.5182 24 666 20.2 374.56 7.79 3
0.14231 0 10.01 0 0.547 6.254 84.2 2.2565 6 432 17.8 388.74 10.45 2
0.02731 0 7.07 0 0.469 6.421 78.9 4.9671 2 242 17.8 396.9 9.14 2
2.44953 0 19.58 0 0.605 6.402 95.2 2.2625 5 403 14.7 330.04 11.32 2
4.89822 0 18.1 0 0.631 4.97 100 1.3325 24 666 20.2 375.52 3.26 5
2.3004 0 19.58 0 0.605 6.319 96.1 2.1 5 403 14.7 297.09 11.1 3
0.06888 0 2.46 0 0.488 6.144 62.2 2.5979 3 193 17.8 396.9 9.45 4
0.97617 0 21.89 0 0.624 5.757 98.4 2.346 4 437 21.2 262.76 17.31 2
0.18836 0 6.91 0 0.448 5.786 33.3 5.1004 3 233 17.9 396.9 14.15 2
4.75237 0 18.1 0 0.713 6.525 86.5 2.4358 24 666 20.2 50.92 18.13 2
8.26725 0 18.1 1 0.668 5.875 89.6 1.1296 24 666 20.2 347.88 8.88 5
0.11132 0 27.74 0 0.609 5.983 83.5 2.1099 4 711 20.1 396.9 13.35 2
3.83684 0 18.1 0 0.77 6.251 91.1 2.2955 24 666 20.2 350.65 14.19 2
