V1 V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13 V14
0.84054 0 8.14 0 0.538 5.599 85.7 4.4546 4 307 21 303.42 16.51 1
1.13081 0 8.14 0 0.538 5.713 94.1 4.233 4 307 21 360.17 22.6 1
1.15172 0 8.14 0 0.538 5.701 95 3.7872 4 307 21 358.77 18.35 1
1.61282 0 8.14 0 0.538 6.096 96.9 3.7598 4 307 21 248.31 20.34 1
3.32105 0 19.58 1 0.871 5.403 100 1.3216 5 403 14.7 396.9 26.82 1
2.77974 0 19.58 0 0.871 4.903 97.8 1.3459 5 403 14.7 396.9 29.29 1
2.37934 0 19.58 0 0.871 6.13 100 1.4191 5 403 14.7 172.91 27.8 1
11.1081 0 18.1 0 0.668 4.906 100 1.1742 24 666 20.2 396.9 34.77 1
18.4982 0 18.1 0 0.668 4.138 100 1.137 24 666 20.2 396.9 37.97 1
15.288 0 18.1 0 0.671 6.649 93.3 1.3449 24 666 20.2 363.02 23.24 1
23.6482 0 18.1 0 0.671 6.38 96.2 1.3861 24 666 20.2 396.9 23.69 1
17.8667 0 18.1 0 0.671 6.223 100 1.3861 24 666 20.2 393.74 21.78 1
88.9762 0 18.1 0 0.671 6.968 91.9 1.4165 24 666 20.2 396.9 17.21 1
15.8744 0 18.1 0 0.671 6.545 99.1 1.5192 24 666 20.2 396.9 21.08 1
20.0849 0 18.1 0 0.7 4.368 91.2 1.4395 24 666 20.2 285.83 30.63 1
24.3938 0 18.1 0 0.7 4.652 100 1.4672 24 666 20.2 396.9 28.28 1
22.5971 0 18.1 0 0.7 5 89.5 1.5184 24 666 20.2 396.9 31.99 1
14.3337 0 18.1 0 0.7 4.88 100 1.5895 24 666 20.2 372.92 30.62 1
8.15174 0 18.1 0 0.7 5.39 98.9 1.7281 24 666 20.2 396.9 20.85 1
11.5779 0 18.1 0 0.7 5.036 97 1.77 24 666 20.2 396.9 25.68 1
8.64476 0 18.1 0 0.693 6.193 92.6 1.7912 24 666 20.2 396.9 15.17 1
13.3598 0 18.1 0 0.693 5.887 94.7 1.7821 24 666 20.2 396.9 16.35 1
