V1 V2 V3 V4 V5 V6 V7
125 256 6000 256 16 128 4
25 1310 2620 131 12 24 8
72 2000 8000 16 6 8 3
350 64 64 0 1 4 1
180 768 12000 6 1 31 2
140 2000 32000 32 1 20 3
56 1000 4000 0 1 6 1
115 2000 8000 16 1 3 1
40 8000 16000 32 8 16 5
175 256 2000 0 3 24 1
23 16000 32000 64 16 32 8
105 1000 4000 0 3 24 1
23 16000 64000 64 16 32 10
30 8000 64000 96 12 176 10
240 512 2000 8 1 5 1
330 1000 4000 0 3 6 1
64 5240 20970 30 12 24 5
26 16000 32000 64 8 24 9
160 1000 8000 16 1 14 2
50 2000 8000 8 3 6 1
75 4000 16000 16 1 6 2
125 2000 8000 0 2 14 1
50 2000 8000 8 1 6 2
75 2000 8000 8 3 24 2
140 2000 4000 0 4 8 1
35 8000 32000 64 8 24 8
50 2000 16000 8 3 6 2
105 2000 6000 16 6 16 1
140 2000 4000 0 3 6 1
143 3100 6200 0 5 20 1
250 512 4000 0 1 7 1
330 1000 2000 0 1 2 1
320 512 5000 4 1 5 2
225 2000 4000 8 3 6 1
60 2000 8000 65 1 8 2
320 512 2000 4 1 3 2
400 2000 4000 0 1 1 1
180 2000 16000 16 1 6 2
300 1000 4000 8 3 64 1
320 256 6000 0 1 6 1
50 1000 4000 8 1 5 1
50 4000 16000 65 1 8 3
75 2000 16000 64 1 38 3
52 4000 16000 32 4 12 3
180 2000 8000 8 1 6 1
17 4000 16000 32 6 12 3
810 1000 5000 0 1 1 1
143 1000 2000 0 5 16 1
220 1000 8000 16 1 2 2
50 4000 16000 64 5 10 3
92 2000 8000 4 1 6 1
50 8000 16000 48 1 10 3
140 2000 32000 32 1 54 4
400 512 3500 4 1 6 1
56 2000 6000 0 1 8 1
1500 768 1000 0 0 0 1
900 1000 4000 4 1 2 1
26 8000 32000 0 8 24 6
38 8000 16000 64 4 8 2
17 4000 16000 8 6 12 2
56 4000 8000 0 1 8 1
300 768 3000 6 6 24 1
900 1000 1000 0 1 2 1
