V1 V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13 V14 V15 V16 V17 V18 V19 V20 V21 V22 V23 V24 V25 V26 V27 V28
0.1 0.42 0.3 0.1 0.1 0.1 0.1 0.367 0.1 0.26 0.42 0.3 0.1 0.1 0.1 0.1 0.5 0.1 0.367 0.633 0.633 0.1 0.1 0.1 0 0.367 0.1 7
0.9 0.26 0.1 0.1 0.5 0.1 0.1 0.1 0.9 0.26 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.367 0.1 0.1 0.1 0.1 0.1 0 0.1 0.1 3
0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.9 0.26 0.1 0.1 0.5 0.1 0.1 0.1 0.9 0.367 0.1 0.1 0.1 0.1 0.1 0 0.1 0.1 3
0.3 0.42 0.1 0.1 0.5 0.5 0.1 0.367 0.26 0.42 0.58 0.5 0.1 0.9 0.5 0.1 0.5 0.26 0.633 0.633 0.1 0.1 0.5 0.5 0 0.367 0.367 9
0.3 0.42 0.1 0.1 0.5 0.5 0.1 0.367 0.26 0.26 0.26 0.1 0.1 0.1 0.1 0.1 0.5 0.1 0.633 0.633 0.1 0.1 0.5 0.5 0 0.367 0.367 10
0.1 0.26 0.1 0.1 0.1 0.1 0.1 0.367 0.1 0.26 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.367 0.367 0.1 0.1 0.1 0.1 0 0.367 0.1 5
0.3 0.74 0.3 0.1 0.5 0.5 0.1 0.367 0.26 0.26 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.367 0.1 0.1 0.1 0.1 0.1 0 0.1 0.1 5
0.5 0.26 0.1 0.9 0.9 0.9 0.1 0.367 0.42 0.26 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.9 0.367 0.1 0.9 0.9 0.9 0 0.367 0.633 1
0.3 0.58 0.5 0.1 0.9 0.5 0.1 0.367 0.26 0.26 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.367 0.1 0.1 0.1 0.1 0.1 0 0.1 0.1 4
0.5 0.26 0.1 0.9 0.9 0.9 0.1 0.367 0.42 0.42 0.42 0.1 0.1 0.5 0.5 0.1 0.5 0.26 0.367 0.1 0.1 0.1 0.1 0.1 0 0.1 0.1 4
0.3 0.42 0.1 0.1 0.5 0.5 0.1 0.367 0.26 0.42 0.58 0.5 0.1 0.9 0.5 0.1 0.5 0.26 0.367 0.1 0.1 0.1 0.1 0.1 0 0.1 0.1 7
0.5 0.26 0.1 0.1 0.1 0.5 0.1 0.633 0.42 0.42 0.26 0.1 0.9 0.1 0.9 0.1 0.1 0.26 0.9 0.367 0.1 0.1 0.1 0.5 0 0.633 0.633 10
0.3 0.74 0.4 0.1 0.5 0.5 0.1 0.367 0.26 0.26 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0 0.1 0.1 6
0.3 0.42 0.1 0.1 0.5 0.5 0.1 0.367 0.26 0.26 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.367 0.1 0.1 0.1 0.1 0.1 0 0.1 0.1 5
0.1 0.26 0.1 0.1 0.1 0.1 0.1 0.367 0.1 0.26 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.367 0.1 0.1 0.1 0.1 0.1 0 0.1 0.1 4
0.5 0.26 0.1 0.1 0.1 0.5 0.1 0.367 0.58 0.42 0.26 0.1 0.9 0.1 0.9 0.1 0.1 0.26 0.367 0.367 0.1 0.1 0.1 0.1 0 0.367 0.1 10
0.1 0.42 0.4 0.1 0.5 0.1 0.1 0.367 0.1 0.26 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.367 0.1 0.1 0.1 0.1 0.1 0 0.1 0.1 4
0.5 0.26 0.1 0.1 0.1 0.5 0.1 0.367 0.58 0.26 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.367 0.1 0.1 0.1 0.1 0.1 0 0.1 0.1 4
0.9 0.42 0.1 0.1 0.1 0.1 0.9 0.1 0.58 0.42 0.42 0.1 0.5 0.5 0.5 0.1 0.5 0.26 0.367 0.1 0.1 0.1 0.1 0.1 0 0.1 0.1 5
0.3 0.42 0.1 0.1 0.5 0.5 0.1 0.367 0.26 0.42 0.42 0.1 0.1 0.5 0.5 0.1 0.5 0.26 0.633 0.633 0.1 0.1 0.5 0.5 0 0.367 0.367 10
0.1 0.26 0.1 0.1 0.1 0.1 0.1 0.367 0.1 0.58 0.26 0.1 0.9 0.9 0.9 0.1 0.5 0.42 0.367 0.367 0.1 0.1 0.1 0.1 0 0.367 0.1 7
0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.74 0.42 0.1 0.1 0.1 0.1 0.9 0.1 0.58 0.367 0.1 0.1 0.1 0.1 0.1 0 0.1 0.1 4
0.3 0.9 0.9 0.1 0.5 0.5 0.1 0.367 0.26 0.26 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.367 0.1 0.1 0.1 0.1 0.1 0 0.1 0.1 3
