V1 V2 V3 V4 V5 V6 V7 V8 V9 V10
45.75 24.25 16.625 40.5 50.75 15.5 69.75 25.125 35.375 2
21.281 52.625 19.875 46.75 63.5 28.375 69.875 18.125 48.5 2
61.125 31.75 16.375 40.75 43.625 18.125 62.5 27.5 48.125 5
47.5 44.625 19.625 57.5 50.625 29.375 85.75 26.25 43.25 3
27.281 51.25 20 40 81 26.375 67.25 21.875 42.5 2
48 28.875 15.75 51 39.375 26.25 79.5 27.875 39.75 3
36.609 56.75 20.875 45.625 78.625 26.125 69.625 22.25 43.75 4
26.609 50.875 20.125 40.25 76.75 28 67.5 22 42.25 2
35 57.625 21.75 46.125 72.375 25.75 75.5 22.625 48.5 4
56.875 30.625 14.25 39.75 41.625 17 61 26.875 44.25 5
21.109 52.5 19.25 46.875 63.5 28.125 70.625 18.625 49.875 2
35.563 57.5 22.5 45.25 79.75 25 71.25 22.375 45 4
47.625 37 15.125 55 47.25 23 79 27.375 39.125 3
30.109 53.375 21.5 44.875 89.375 27.5 67.5 22.25 44.125 2
48.5 27.125 15.875 35.875 44.875 15.75 61.375 22.375 39.5 3
18.719 49.25 19 43.5 60.375 29 65.875 16.5 48 1
60.25 31.625 15.5 41.625 41.25 18 62.625 28.125 46.875 5
47 40 16.5 56.375 48.75 22.75 80.875 26.375 40 2
27.781 53.125 21.75 41.125 65.375 31 67.5 21.5 46.75 1
44.875 25.375 19.25 46 43.75 18.875 68 26.625 36.5 3
28.328 54.25 23 43.625 78.375 35.25 72.125 21.625 44.25 2
51.75 42.25 19.125 53.625 57.875 26.375 81.375 26.875 43.25 3
50.25 24.25 15.75 49.125 41 26.75 76.5 28.25 41.25 3
39.672 58.75 20.375 52.75 70.5 22.125 82.25 24.5 47.5 5
40.922 58.875 19.875 52 70.5 22.125 83.5 24.5 47.875 4
34.109 57 21.75 45 78.75 24.625 72.5 22 44.875 3
30.281 53.5 21.75 45.875 92.25 28 68.625 22 44.875 2
55 36 15.75 42.625 45.875 17.625 64.5 27.625 49.625 5
39.078 57.375 21.5 50.75 72.25 23.625 78.75 24.625 47.5 4
26.219 53 22.625 43.75 64.25 29.375 66 21.25 48 1
49.75 28.5 18.375 50.625 38.75 21.125 73.875 28.5 39.25 3
