total data point num: 13
3: 0.980415 0.872208 0.77591 0.651583 0.471361 0.222505 0.101211 0.0506212 0.0348867 0.0368166
7: 0.958539 0.966669 0.97969 0.959904 0.955871 0.851434 0.668023 0.513879 0.336587 0.187913
5: 0.974691 0.970967 0.977943 0.936352 0.919881 0.694191 0.341729 0.214158 0.125513 0.0692325
3: 0.979752 0.832967 0.687954 0.575126 0.373988 0.172185 0.0864812 0.0435056 0.0302666 0.0370326
5: 0.981795 0.960132 0.957305 0.887999 0.834058 0.513058 0.203135 0.108891 0.0659921 0.0432399
5: 0.984493 0.975057 0.977338 0.931913 0.902638 0.609437 0.243518 0.132556 0.0753309 0.0437507
5: 0.983617 0.962018 0.958433 0.8947 0.839592 0.504081 0.200077 0.106925 0.0624808 0.0427793
4: 0.982171 0.928795 0.898391 0.803772 0.685738 0.345602 0.145399 0.0763694 0.0468499 0.0413857
5: 0.97261 0.973284 0.982052 0.951677 0.943716 0.769815 0.432568 0.303113 0.177789 0.0913768
1: 0.977399 0.69719 0.420444 0.33569 0.167094 0.0922222 0.0529239 0.0241029 0.0205054 0.0297589
4: 0.982595 0.941135 0.92217 0.83496 0.739028 0.393348 0.159874 0.0838618 0.051169 0.0412385
4: 0.981361 0.90279 0.843976 0.736019 0.580748 0.274893 0.121924 0.063311 0.0402913 0.0401614
4: 0.982407 0.937504 0.915262 0.823431 0.721177 0.379533 0.154282 0.0803844 0.0497574 0.0405982
mean zero one error: 0.769231
class 1 0
	Recall: -nan (0/0)
	Precison: -nan (0/0)
class 2 1
	Recall: 0 (0/1)
	Precison: 0 (0/1)
class 3 2
	Recall: 0 (0/1)
	Precison: -nan (0/0)
class 4 3
	Recall: 0 (0/1)
	Precison: 0 (0/2)
class 5 4
	Recall: 0.25 (1/4)
	Precison: 0.25 (1/4)
class 6 5
	Recall: 0.4 (2/5)
	Precison: 0.4 (2/5)
class 7 6
	Recall: 0 (0/1)
	Precison: -nan (0/0)
class 8 7
	Recall: -nan (0/0)
	Precison: 0 (0/1)
class 9 8
	Recall: -nan (0/0)
	Precison: -nan (0/0)
class 10 9
	Recall: -nan (0/0)
	Precison: -nan (0/0)
mean absolute error: 1.23077

