total data point num: 152
1: 0.995448 0.745348 0.00821458 0.00131735 0.00197522
4: 0.973227 0.999589 0.998444 0.953666 0.776707
1: 0.989042 0.732547 0.0815958 0.0191039 0.0386075
2: 0.987718 0.997715 0.912698 0.211015 0.0404142
2: 0.993103 0.995104 0.768308 0.0860074 0.0385089
2: 0.984973 0.978772 0.860749 0.347982 0.394639
2: 0.980299 0.887797 0.558722 0.233482 0.354142
2: 0.992127 0.9911 0.573336 0.0410558 0.011123
1: 0.993969 0.967987 0.187185 0.0111661 0.00533465
0: 0.992201 0.027616 0.000207962 0.000185098 0.000744248
1: 0.989904 0.851788 0.173182 0.0269962 0.0471247
1: 0.992959 0.980833 0.358023 0.0221527 0.00972833
1: 0.98636 0.876838 0.314111 0.0782659 0.130889
2: 0.988747 0.998079 0.966479 0.366467 0.130153
0: 0.990368 0.135876 0.00231579 0.0013526 0.00439115
1: 0.995243 0.897386 0.0286535 0.00301703 0.00327671
0: 0.991494 0.103709 0.00125098 0.000718538 0.00236336
0: 0.990415 0.364275 0.0114322 0.00366613 0.00970128
1: 0.993891 0.989666 0.497472 0.0270388 0.0108085
1: 0.993931 0.986851 0.4059 0.0274979 0.0144959
1: 0.995895 0.972073 0.0806764 0.0026901 0.00109439
4: 0.978819 0.999608 0.997523 0.892128 0.539355
2: 0.990538 0.999364 0.983664 0.374853 0.0827161
1: 0.995439 0.74402 0.00781509 0.00106133 0.00131893
1: 0.992675 0.9695 0.129101 0.00740625 0.00190047
1: 0.994972 0.888947 0.0139848 0.000881418 0.000315706
1: 0.994374 0.950585 0.0918064 0.00613503 0.00345997
1: 0.989552 0.60844 0.0394735 0.010579 0.0235738
1: 0.994054 0.905123 0.0499374 0.0039415 0.00242297
1: 0.986566 0.594698 0.0627358 0.0223304 0.0511491
2: 0.994665 0.993888 0.593371 0.0256079 0.00915428
1: 0.996246 0.770622 0.00483654 0.000361109 0.000259577
3: 0.979616 0.999017 0.992305 0.759406 0.29861
2: 0.992007 0.994957 0.763986 0.0692277 0.0178447
1: 0.9932 0.962653 0.118768 0.00610424 0.00199946
1: 0.99594 0.895765 0.0144476 0.000859987 0.000453052
1: 0.992941 0.971306 0.256954 0.0302649 0.0263798
1: 0.996679 0.541307 0.00131477 0.000216302 0.000318939
1: 0.995801 0.868607 0.0141287 0.000901503 0.000547156
1: 0.991469 0.963498 0.19026 0.0139227 0.00435426
