total data point num: 285
0: 0.993448 0.400096 0.0241639 0.0072518 7.3586e-05
2: 0.997203 0.997443 0.923354 0.0394305 0.0139049
1: 0.995088 0.587191 0.0298577 0.0058365 4.98654e-05
2: 0.995982 0.995867 0.840007 0.35835 0.000980434
4: 0.993746 0.998907 0.997634 0.86706 0.544275
2: 0.995962 0.987909 0.582761 0.124018 0.000370351
2: 0.996011 0.989744 0.838251 0.00846898 0.0229716
3: 0.995049 0.990261 0.876626 0.615413 0.00325083
2: 0.997106 0.9952 0.836417 0.00534484 0.0126526
0: 0.991597 0.305949 0.0261538 0.0146686 0.000111768
3: 0.99542 0.998617 0.986414 0.906682 0.0209825
0: 0.991944 0.213626 0.0109635 0.00675296 4.3327e-05
4: 0.993243 0.998341 0.998231 0.829278 0.792845
0: 0.991863 0.192845 0.018153 0.0174343 9.30114e-05
2: 0.997137 0.997215 0.905999 0.0226454 0.0132538
2: 0.995822 0.992324 0.81459 0.00922299 0.0119075
2: 0.997098 0.997883 0.946339 0.0475424 0.0249305
3: 0.995346 0.998228 0.977634 0.853771 0.0120039
2: 0.997289 0.994979 0.718043 0.00223059 0.00497347
0: 0.992253 0.139898 0.00688396 0.00299856 3.82704e-05
2: 0.996363 0.994964 0.945206 0.0267852 0.072329
3: 0.994687 0.993178 0.940698 0.830658 0.00730899
3: 0.994455 0.994394 0.967692 0.92722 0.0147256
0: 0.992546 0.350645 0.0432331 0.0252145 0.00019354
3: 0.99343 0.999008 0.996385 0.970829 0.140063
2: 0.99678 0.993588 0.762118 0.00346398 0.00819764
3: 0.992941 0.99922 0.998666 0.982782 0.472827
2: 0.997589 0.9976 0.854784 0.0161754 0.00446656
3: 0.995297 0.99789 0.975398 0.864614 0.0114747
2: 0.997197 0.996749 0.866725 0.0269178 0.00558036
3: 0.994695 0.992334 0.928692 0.796506 0.00611055
2: 0.995779 0.987626 0.620936 0.0038388 0.00375805
1: 0.99652 0.983558 0.311273 0.018229 0.000113352
3: 0.995333 0.999085 0.994416 0.965145 0.0536736
2: 0.997252 0.997456 0.917045 0.0367417 0.0116576
3: 0.992887 0.998219 0.990287 0.80873 0.102904
1: 0.995303 0.629627 0.0250883 0.00384244 3.33451e-05
2: 0.996923 0.998124 0.959357 0.105479 0.0252804
0: 0.991892 0.362269 0.0620387 0.0512837 0.000303965
2: 0.99673 0.998302 0.973736 0.184505 0.0423173
3: 0.994821 0.995433 0.955917 0.844043 0.00855628
0: 0.992053 0.128606 0.00519416 0.0034404 2.36594e-05
2: 0.996207 0.992857 0.749433 0.00534625 0.0064485
3: 0.995795 0.999155 0.989647 0.863695 0.0271572
2: 0.993526 0.991532 0.944331 0.160188 0.0541626
3: 0.995393 0.998873 0.991833 0.946125 0.0372065
0: 0.991199 0.288273 0.0265744 0.0170703 0.000120686
2: 0.995774 0.993082 0.854571 0.0155638 0.0149407
2: 0.997142 0.997422 0.906954 0.0227932 0.0130159
2: 0.997254 0.997319 0.900236 0.0368625 0.0079578
2: 0.997065 0.996214 0.901746 0.0103924 0.0245508
4: 0.992607 0.999386 0.999773 0.987496 0.965846
2: 0.996743 0.998394 0.977898 0.209537 0.0532384
2: 0.9961 0.990221 0.862861 0.0109709 0.0283583
4: 0.994187 0.998285 0.99668 0.666416 0.607584
3: 0.993848 0.997959 0.984871 0.901328 0.0294586
2: 0.993755 0.980889 0.74733 0.0218431 0.00956003
3: 0.994113 0.999018 0.996471 0.874471 0.296431
3: 0.993705 0.99 0.966728 0.946955 0.0231891
0: 0.991808 0.119294 0.0029875 0.00159017 1.20075e-05
3: 0.994789 0.998503 0.980862 0.592582 0.0328027
2: 0.997535 0.995966 0.727689 0.00256515 0.00408242
4: 0.993239 0.998864 0.99801 0.903306 0.600371
0: 0.99337 0.254506 0.0114637 0.00341518 4.43538e-05
2: 0.996172 0.990648 0.597072 0.00275737 0.00276602
1: 0.994906 0.724289 0.0589936 0.00922483 9.1469e-05
1: 0.995927 0.972079 0.217804 0.0166019 8.42756e-05
2: 0.995896 0.983435 0.517681 0.108177 0.00032873
4: 0.992241 0.998886 0.99951 0.966242 0.943302
3: 0.995341 0.998928 0.992645 0.954388 0.0411955
3: 0.995145 0.992992 0.899541 0.63881 0.00346482
2: 0.997261 0.996785 0.873431 0.0117172 0.0106598
3: 0.995229 0.998498 0.985439 0.919278 0.0186501
1: 0.995434 0.681346 0.0171272 0.00159882 1.69063e-05
2: 0.996818 0.994265 0.802232 0.00523989 0.00949007
3: 0.996295 0.999264 0.995224 0.807581 0.147114
3: 0.995047 0.997423 0.977674 0.906495 0.0147473
3: 0.99497 0.994279 0.922566 0.683764 0.00467449
3: 0.993154 0.998273 0.991495 0.811184 0.124862
3: 0.993531 0.998798 0.99468 0.956913 0.0957241
2: 0.996369 0.993855 0.929328 0.0217805 0.0569583
3: 0.992474 0.998904 0.997307 0.964234 0.298393
0: 0.992418 0.24558 0.0291953 0.0273015 0.000143287
0: 0.991605 0.0981762 0.0022729 0.00119871 9.88912e-06
2: 0.997005 0.994792 0.811174 0.00338447 0.0123953
0: 0.991564 0.208809 0.0110906 0.00677288 4.63808e-05
3: 0.993375 0.998711 0.993148 0.935686 0.0778529
3: 0.99489 0.998816 0.988019 0.740363 0.0484982
1: 0.995799 0.972621 0.342826 0.0533774 0.000182468
3: 0.993311 0.998591 0.996218 0.842168 0.381685
0: 0.993337 0.396428 0.0126105 0.00361286 2.7163e-05
4: 0.993161 0.999017 0.998505 0.93199 0.665431
1: 0.993977 0.782375 0.285485 0.00396848 0.00620356
4: 0.993643 0.999052 0.999228 0.915281 0.896791
4: 0.992755 0.998936 0.999304 0.94498 0.908625
4: 0.991697 0.99929 0.999414 0.995981 0.69413
0: 0.992613 0.324336 0.0233619 0.0105785 8.75143e-05
0: 0.99237 0.165765 0.00574816 0.00320316 2.16914e-05
0: 0.99098 0.18992 0.0139912 0.0100492 7.27012e-05
3: 0.993743 0.985747 0.948263 0.92168 0.0159625
2: 0.996952 0.995199 0.86162 0.00695345 0.0168104
2: 0.997075 0.994944 0.809757 0.00347306 0.0116091
3: 0.993189 0.997893 0.984705 0.732468 0.0579257
1: 0.995326 0.641232 0.0269374 0.00416498 3.54079e-05
3: 0.993886 0.999295 0.998436 0.959819 0.475914
0: 0.993002 0.305633 0.0101195 0.00345978 2.71995e-05
3: 0.995185 0.99268 0.903888 0.63159 0.00407849
3: 0.995241 0.997946 0.977744 0.880722 0.0129115
1: 0.995256 0.79273 0.0830276 0.0116955 0.000113339
2: 0.997251 0.995162 0.794093 0.00409627 0.00799442
1: 0.996285 0.987825 0.403055 0.00107709 0.00113924
4: 0.993009 0.999277 0.999417 0.973732 0.867988
1: 0.995833 0.95733 0.145743 0.00941503 6.39769e-05
2: 0.995989 0.990514 0.618744 0.125954 0.000384032
0: 0.992989 0.310203 0.00921727 0.00317791 2.3118e-05
3: 0.993327 0.999166 0.998236 0.968772 0.418601
3: 0.995297 0.993088 0.898606 0.58518 0.00365033
1: 0.994894 0.680394 0.0391321 0.00483115 6.29541e-05
2: 0.996884 0.993664 0.740574 0.00215484 0.00813209
0: 0.992637 0.33271 0.0376318 0.0217947 0.000166318
0: 0.992114 0.184673 0.00976136 0.00747174 3.96948e-05
4: 0.993788 0.998841 0.997399 0.848865 0.526284
4: 0.992033 0.998933 0.999586 0.973904 0.95246
0: 0.992906 0.399652 0.0292842 0.011108 9.53428e-05
0: 0.992573 0.153587 0.00581176 0.00319543 2.38652e-05
2: 0.994589 0.929722 0.536874 0.00578011 0.0110659
1: 0.99653 0.988661 0.335281 0.0171259 9.74544e-05
0: 0.992712 0.333091 0.02516 0.0111369 9.49826e-05
3: 0.995459 0.999631 0.998407 0.989378 0.149396
0: 0.992505 0.140067 0.00526065 0.00291969 2.26696e-05
1: 0.996494 0.986162 0.31178 0.0161476 9.99727e-05
2: 0.997333 0.997192 0.878945 0.0238336 0.00661242
3: 0.993638 0.998919 0.997084 0.882686 0.409711
2: 0.996677 0.990313 0.52958 0.00196318 0.00179358
3: 0.994567 0.992212 0.937117 0.836885 0.00737351
3: 0.99547 0.99899 0.994445 0.962258 0.0610496
2: 0.994717 0.993211 0.924957 0.0393726 0.0461218
4: 0.992068 0.999185 0.99901 0.99021 0.576183
0: 0.99276 0.186363 0.00585983 0.00252067 2.08141e-05
2: 0.9947 0.997524 0.951633 0.304153 0.0134046
0: 0.991872 0.116696 0.00535627 0.00431618 2.61154e-05
2: 0.996867 0.995469 0.898372 0.00731082 0.0324388
0: 0.99235 0.170406 0.00699154 0.00431813 2.75494e-05
0: 0.992927 0.209489 0.00418532 0.00129137 1.18796e-05
1: 0.994768 0.672722 0.0405938 0.00512013 6.95194e-05
1: 0.995359 0.66748 0.014747 0.00132801 1.44591e-05
1: 0.995503 0.937815 0.126384 0.00880173 7.49539e-05
2: 0.996394 0.993268 0.742367 0.00475123 0.00592714
3: 0.994989 0.994308 0.927056 0.710456 0.00503765
3: 0.993953 0.997911 0.983265 0.574868 0.0648369
2: 0.996651 0.992447 0.635467 0.00206134 0.00359186
1: 0.995536 0.974855 0.432703 0.101312 0.000278718
2: 0.996819 0.993665 0.749522 0.00231486 0.00872186
1: 0.994755 0.641018 0.0462899 0.00900051 8.41627e-05
3: 0.995054 0.99701 0.974378 0.883745 0.0144013
2: 0.996033 0.980829 0.658383 0.00578051 0.00692538
2: 0.996565 0.992864 0.717018 0.00499527 0.00454948
1: 0.995814 0.978514 0.402165 0.0627475 0.000218213
3: 0.993579 0.998203 0.987993 0.71456 0.0843968
2: 0.997058 0.997106 0.912041 0.0255313 0.0150741
1: 0.995269 0.885293 0.0865881 0.00895292 6.55982e-05
2: 0.996064 0.98982 0.90719 0.0260969 0.0479379
2: 0.996926 0.993141 0.603847 0.00149807 0.00291428
0: 0.992223 0.158507 0.00646034 0.0041921 2.62171e-05
1: 0.996508 0.987625 0.315973 0.0162403 9.17915e-05
1: 0.996341 0.987418 0.377739 0.0260416 0.000135847
2: 0.997419 0.995393 0.731941 0.0022497 0.00522196
4: 0.993359 0.999308 0.998784 0.977167 0.531278
2: 0.997305 0.99765 0.915255 0.0244704 0.0138757
2: 0.996601 0.993184 0.71976 0.00460679 0.00467253
0: 0.99132 0.136881 0.0173664 0.0213464 0.000120166
2: 0.997237 0.997385 0.884332 0.0160098 0.00965112
0: 0.993025 0.386882 0.0140761 0.00469625 3.25516e-05
3: 0.995308 0.999063 0.994213 0.963268 0.0526542
2: 0.997327 0.997055 0.881723 0.00922309 0.0138704
3: 0.99526 0.998569 0.987748 0.92821 0.0240492
1: 0.995746 0.935004 0.103449 0.00530976 6.03286e-05
2: 0.99598 0.990617 0.598564 0.113983 0.000335211
3: 0.995501 0.999511 0.997555 0.983633 0.10377
4: 0.992968 0.99943 0.999714 0.985856 0.944465
4: 0.993097 0.99917 0.999145 0.959368 0.807427
3: 0.995529 0.998936 0.991582 0.933227 0.0362884
0: 0.993056 0.211504 0.00655335 0.00179057 2.46012e-05
